Scene,Scene ID,H_00,H_01,H_02,H_10,H_11,H_12,H_20,H_21,H_22
A&W1,DSC_0547.NEF,-0.9960859750061064,-0.004614485574541521,4489.96140515718,0.009043458577830487,-1.0067605446801118,2840.4503046482155,4.29306838363803e-06,-4.363409718989599e-07,0.9999999999999999
A&W1,DSC_0548.NEF,-0.997461667663115,-0.001796308048154722,4486.551743201509,0.006583720494434473,-1.0045866905868939,2848.25046522016,3.563778584416698e-06,-1.6613264344536438e-08,1.0
A&W1,DSC_0551.NEF,-0.9990187404318366,-0.0025986154672058824,4493.792190500483,0.009179069968474654,-1.0065929102666749,2850.607019539718,4.170526923125286e-06,2.2374754834536194e-07,1.0
A&W1,DSC_0552.NEF,-0.9979050886914097,-0.001239376692795217,4486.038849114345,0.00689768532255093,-1.0048315755163748,2858.906929764164,3.5497999581816944e-06,5.90124100927809e-07,1.0
A&W1,DSC_0553.NEF,-0.9988928894307064,-0.004128757514678242,4494.676275355305,0.010586334614789049,-1.0053472377499484,2855.3146417863472,3.865030361730046e-06,4.1752216531614596e-07,1.0
A&W1,DSC_0554.NEF,-0.9963843443696736,-0.006112611291136504,4481.824811326704,0.007767708477823307,-1.0013927998352523,2853.770698853399,2.452272839350104e-06,-5.111350692113082e-07,1.0
A&W1,DSC_0555.NEF,-0.9972262204025744,-0.005282610978458725,4491.3921187916685,0.010032787580301147,-1.0053657906564608,2859.786257131376,4.033165339216664e-06,-7.196461609065788e-08,1.0
A&W1,DSC_0556.NEF,-0.9984553018557634,-0.0032534286564983284,4491.380566412033,0.00918245113268152,-1.0052972436932786,2859.0633696471637,3.830907873096687e-06,3.448775522063611e-07,1.0
A&W1,DSC_0557.NEF,-0.9976952910511778,-0.0035919361135367455,4488.902592282835,0.008527367148362466,-1.004314708649896,2861.594662716156,3.571342151600415e-06,3.935722987704915e-07,1.0
A&W1,DSC_0558.NEF,-0.9976860110518885,-0.00372074982032903,4487.516027031732,0.008864101910107338,-1.0042689272731287,2861.2849992508955,3.3977455851265846e-06,2.151720380046031e-07,1.0
A&W1,DSC_0559.NEF,-0.997487367073219,-0.004416667765300334,4494.214850313976,0.010764286054485785,-1.00752486610104,2862.4943453008805,4.991559939953665e-06,-2.4919209295377815e-07,1.0
A&W1,DSC_0560.NEF,-0.99864905829788,-0.0024809109111515603,4492.841713059868,0.010239967299725164,-1.0059018998290983,2864.125496495354,4.114180222898038e-06,7.787335493771405e-07,1.0
A&W1,DSC_0561.NEF,-0.9973250739221099,-0.00407857520179148,4487.81447792371,0.009483114562791311,-1.005572473308448,2865.533154807932,3.7590530652671623e-06,1.4333034223791803e-08,1.0
A&W1,DSC_0562.NEF,-0.9978376244530429,-0.0030071104544595567,4487.793043580836,0.008835495589688753,-1.004387625382234,2864.6443773731253,3.464227153561967e-06,5.753137729478177e-07,1.0
A&W1,DSC_0563.NEF,-0.9979495081391604,-0.002896704400444434,4487.627487181135,0.008331324732368717,-1.0036355951671292,2866.4983451034363,3.2513876128942706e-06,8.374433148465023e-07,1.0
A&W1,DSC_0564.NEF,-0.9982736396857904,-0.0029290270260514326,4491.77451367877,0.009391980850992701,-1.0059393164495622,2867.909354137717,4.168452943444093e-06,5.447667215370647e-07,1.0
A&W1,DSC_0565.NEF,-0.9981879244373735,-0.0028876692525756503,4489.325870557283,0.009264994588562671,-1.0052251651824262,2866.4659643889986,3.727918942051251e-06,5.460701528715338e-07,1.0
A&W1,DSC_0566.NEF,-0.9982134053942984,-0.0026916847174225382,4489.041551382411,0.008632957628166156,-1.0045244112157692,2867.0239783653997,3.4651610042584576e-06,7.870278190912525e-07,1.0
A&W1,DSC_0567.NEF,-0.9971388343321421,-0.003990764360745003,4489.028708716972,0.009637418453484451,-1.0055204154226554,2864.792483231614,3.8233144229474516e-06,3.685426113502082e-07,1.0
A&W1,DSC_0571.NEF,-0.9981366897809428,-0.002481293989980733,4488.650168969343,0.008415031711681838,-1.0044906892919128,2867.3880040334425,3.5159755615501873e-06,6.308586287578909e-07,1.0
A&W1,DSC_0572.NEF,-0.9965269151709153,-0.005517467586684741,4485.396369386976,0.009716545632510397,-1.003900093648625,2864.7992448111972,3.1810949882477147e-06,1.6731532260925943e-07,1.0
A&W1,DSC_0573.NEF,-0.9983839318904674,-0.0034250291846858426,4489.630639052114,0.009731503164833939,-1.0051919119242703,2871.8301920865306,3.6564010757530055e-06,3.631991661857614e-07,1.0
A&W1,DSC_0574.NEF,-0.9992333662753458,-0.0023412667440600005,4492.939045762516,0.009953330176390471,-1.006619499842431,2872.9724877419567,4.16856225940473e-06,6.56827963780464e-07,0.9999999999999999
A&W1,DSC_0575.NEF,-0.998945291657474,-0.0022607578253540147,4492.56160482376,0.010249970688127613,-1.0063408887410612,2870.642143209477,4.040049992154634e-06,7.581538436106056e-07,1.0
A&W1,DSC_0576.NEF,-0.9989981488521024,-0.002069582113780983,4492.3676145521,0.009595972639250919,-1.0048254884236496,2872.0478131417713,3.699814537131306e-06,1.322115076142246e-06,1.0
A&W1,DSC_0579.NEF,-0.9982995466989537,-0.002683000711718069,4492.143933453487,0.009208483698431644,-1.0056765023286836,2854.128801401614,3.95101532569196e-06,4.3409187525630975e-07,1.0
A&W1,DSC_0580.NEF,-0.9959238587433791,-0.004754936734474512,4483.085842764791,0.006618667286584568,-1.002539175002946,2851.7046425539843,2.620931867408654e-06,3.737504175412226e-07,1.0
A&W1,DSC_0583.NEF,-0.9983094941311224,-0.0011562678392192632,4483.340662519432,0.00781994985301538,-1.003592944594346,2849.336576116759,2.319138421952501e-06,1.0067507442644872e-06,1.0
A&W1,DSC_0584.NEF,-0.9966272245627271,-0.004005588067023287,4485.42464579341,0.008071658364200748,-1.004372135867837,2850.0044570019945,3.354164588947548e-06,-6.51794889586276e-08,1.0
A&W1,DSC_0585.NEF,-0.9975900050126746,-0.003490130634334347,4486.744573955448,0.007473937436702401,-1.0035916459470307,2852.6045178342283,3.2135273626501496e-06,2.8807706227445555e-09,1.0
A&W1,DSC_0586.NEF,-0.9982517021452941,-0.0022226994308120404,4491.725258832705,0.008149677415889569,-1.005483289870093,2853.6094879253315,4.024699202801215e-06,5.074745439823151e-07,0.9999999999999999
A&W1,DSC_0587.NEF,-0.9984166985781587,-0.001538622392806064,4490.406783795955,0.007476519260013326,-1.005001224821085,2857.2040767495973,3.853643351056936e-06,7.937961819220863e-07,0.9999999999999999
A&W1,DSC_0588.NEF,-0.9978364481802681,-0.00225736080334456,4487.910821367885,0.007595385939833565,-1.0039045697932505,2853.1255162830153,3.3960302241137626e-06,5.901631527660726e-07,1.0
A&W1,DSC_0589.NEF,-0.9980035429730119,-0.00186577391251472,4488.478956162315,0.007565956636098695,-1.0042007669737278,2852.9177060154693,3.508395132297391e-06,7.195756241901544e-07,0.9999999999999999
A&W1,DSC_0590.NEF,-0.9969314984375689,-0.0036162387776165934,4487.058288832976,0.007878250912368165,-1.0048614928933193,2854.740024467755,3.917221247675413e-06,-6.613126390842401e-07,1.0
A&W1,DSC_0591.NEF,-0.9974716005314173,-0.0029389645096750466,4488.801223365076,0.007513507522668251,-1.0043962118299388,2851.652852637641,3.551082124108559e-06,3.8465862085317423e-07,1.0
A&W1,DSC_0592.NEF,-0.997486571832541,-0.002511706442357462,4487.122503251414,0.007003823719670219,-1.0048589992767334,2856.404046243104,3.625313351309469e-06,-1.1266526736055363e-07,1.0
